,Unnamed: 0,Category,Shelter Agency,Shelter Address,Site Description,Phone Operating Hours,Website,Phone #,Jurisdiction ,# of Units,# of Beds,Congregate?,Setting Type,Veterans,Single Adult,Adult (18 - 24),Adult Men,Adult Women,Family ,Young Families (parents 18-24),Child(ren) (0 - 5),Child(ren) (12 - 17),Child(ren) (0 - 17),Populations Served,Sex Offender,Rent?,Eligibility Criteria,Meals Offered,Services & Amenities,Here4You,How to Apply,Application Requirements,Notes,Email,Additional Notes,Shelter Name,Latitude,Longitude
23,23,Emergency Interim Housing,PATH,"2078 Evans Lane, San Jose, CA 95125",It is basically a shelter,,https://epath.org/wp-content/uploads/2024/05/PATH_SantaClaraFactSheet2024_FINAL.pdf,408 753 8735,City of San Jose,48,121,False,Tiny house,False,False,False,False,False,True,False,False,False,TRUE,Families witih children under 18,"TRUE
Maybe",No,"Following are asked but not required:
*Current ID of any kind
*SS card. OK not have it
*Birth cert from any country
*Income verification. OK not have income
*Medical insurance card",TRUE,"Case management
Housing support
Employment support",True,,"*Here4You only refer people living in SJ to Evans Lane
*Parent must have documents showing having custody of child(ren)","City owned property which is managed by Abode
*One pet/unit
*Shelly Colclough. CM at Evans Lane. Cell: 669 293 1030. ShellyC@epath.org
Sat 7am - 3:30pm Sun - Wed: 12:30pm - 9pm",,"*4 full time case managers. Each manage 12 families. Meet once a week
*Use HMIS for CM",Evans Lane (Emergency Interim Housing Community #3) ,37.301757615384616,-121.87653792307692
24,24,Shelter,Salvation Army,"405 N 4th St, San Jose, CA 95112",,,https://siliconvalley.salvationarmy.org/silicon_valley/emmanuel-house,408 282-1175,Santa Clara County,,30,True,"congregate shelter, men only; overnight stays; 42 for TLP ",False,False,False,True,False,False,False,False,False,FALSE,Adult Men,"

No ",No,"Must pass a breathalyzer each day; men only 
*must have a valid gov issued ID. Valid out of state ID and foreign passports are acceptable","TRUE

7:15am - 8am Mon-Sat
5:15pm - 6pm Mon-Sat

Meals are offered to everyone, not limited to shelter residents","Showers
dinner, continental breakfast every day except on Sundays",False,"Line up for overnight beds at 3:30pm

If there are more than 30 men lined up, then lottery",,"*WQE visited shelter 9/22/2024
Only open nightly; must register and pass a breathalyzer each day; 
*disability? OK. if they can take care of themselve. 
",,,Emmanuel House (Overnight),37.3440692,-121.8927628
25,25,Shelter,"Family Supportive Housing, Inc.","692 N King Rd, San Jose, CA 95133",,??,,408 926 8885,Santa Clara County,35,,False,Each unit has more than one bed depending on family size,False,False,False,False,False,True,False,False,False,TRUE,"*Single and 
*two parent families
*Child(ren) 0-18",FALSE,"$50 deposit
$50/month fee",Literally homeless family,TRUE,"*Case management, 
*housing, 
*employment referrals, 
*parenting classes, 
*onsite licensed daycare",,"*Fill out SJ Shelter Waitlist online: https://www.tfaforms.com/4865266 
*Call Family Supportive Housing",Must have SS card and ID card or birth cert,single and two parent families only,,,Family Supportive Housing,37.3661452,-121.8683013
26,26,Emergency Interim Housing,HomeFirst,No Address,,,https://www.homefirstscc.org/interim-housing,,,70,,False,A motel in SJ,False,False,False,False,False,False,False,False,False,FALSE,,FALSE,,,TRUE,,False,HomeFirst outreach,,,,,First Street EIH,,
27,27,Shelter,LifeMoves,"260 Commercial Street, San Jose CA 95112",,,https://www.lifemoves.org/directory/georgia-travis-house/,408 271 1630,City of San Jose,"12 family units
15 single units",51,False,non congregate shelter for single women and families ,False,False,False,False,True,True,False,False,False,TRUE,"*Families witih minor children 
*Single woman 18+
*No single adult man without a child or partner",FALSE,0,,TRUE,Case management,True,,,"Can stay for up to 90 days
*Do adults have to have a valid ID
*Do children have to have birth cert?",,,Georgia Travis House (GTH),37.3600757,-121.90082898094848
28,28,Shelter,LifeMoves,"813 Alice Ave, Mountain View, CA 94041",3-br house,,https://www.mountainview.gov/our-city/departments/city-manager-s-office/human-services/homelessness/sheltering-services,650 685 5880,,3,8,False,,False,False,False,False,False,False,False,False,False,FALSE,,FALSE,,,FALSE,,False,,,,,,Graduate House,37.38087437744806,-122.06694632407518
29,29,Shelter,HomeFirst,"8490 Wren Ave Gilroy, CA 94020",in the National Guard Armory building,,https://www.homefirstscc.org/emergency-shelters,408 848 8023,,,120,True,,False,False,False,True,True,True,False,False,False,FALSE,,FALSE,0,,FALSE,,True,,,,,,Gilroy Shelter,37.0205721,-121.5859958
30,30,Shelter,,"10 Kirk Ave, San Jose, CA 95127",,,http://veteranshousingfacility.org/,408 533 0228,,,,False,,False,False,False,False,False,False,False,False,False,FALSE,,FALSE,,,FALSE,,False,,,"9/25/2024 - WQE called the shelter and was told it will be shutdown for remodeling. No one knows how long the remodel will be. 
I was told to call HomeFirst at 669 308 1214 to get info about shelter for veterans.",,,Homeless Veterans Emergency Housing Facility (HVEHF),37.3769307,-121.82151261388108
31,31,Shelter,LifeMoves,"January: Trinity Lutheran Church, 1295 Middlefield Road, Palo Alto
February: Wesley Methodist Church, 463 College Avenue, Palo
March: First Congregational Church, 1985 Louis Road, Palo Alto
April: The Highway Community, 3373 Middlefield Road, Palo Alto
May: Peninsula Bible Church, 3505 Middlefield Road, Palo Alto
June: First Methodist Church, 625 Hamilton Avenue, Palo Alto
July: First Presbyterian Church, 1140 Cowper Street, Palo Alto
August: St. Mark’s Episcopal, 600 Colorado Avenue, Palo Alto
September: Unitarian Church, 505 E. Charleston Road, Palo Alto
October: All Saints’ Episcopal Church, 555 Waverley Street, Palo Alto
November: Menlo Church, 950 Santa Cruz Avenue, Menlo Park
December: Friends Meeting, 957 Colorado Avenue, Palo Alto",Palo Alto,8am - 4pm,https://www.lifemoves.org/directory/opportunity-services-center/,650 656 9840,City of Palo Alto,,10,True,congregate shelter rotating at various churches,False,True,False,False,False,False,False,False,False,FALSE,Adults,"TRUE
case by case",0,,"TRUE
Hot meal dinner
Snacks for breakfast","emergency food, shelter, and case management services ",True,,,"Emergency program that alternates locations through congregations in Palo Alto and surrounding neighborhoods. Clients can stay up to 90 days with possibility of 30 day extension
*Max of two suitcases can be storage 
*Foot lockers can be locked with your own lock. 
*Door opens at 7pm and closes at 10pm. Leave by 7am in the morning.
*Sober environment. No alchoho or drugs. ",,,Hotel de Zink,,
32,32,,CityTeam,No Address,,,,,,,,False,,False,False,False,False,False,False,False,False,False,FALSE,,FALSE,,,FALSE,,False,,,,,,House of Grace,,
33,33,Shelter,LifeMoves,"546 West Julian Street, San Jose, CA 95110",,8:30 am - 6 pm,https://www.lifemoves.org/adult-services/?q=&in_cat=39,408 271 0820,City of San Jose,,85,True,congregate shelter setting,True,True,False,False,False,False,False,False,False,FALSE,"*Adults 
*Veterans
*Adults with mental illness",FALSE,,,FALSE,"Case manegement with mental health case manager
One on one counseling and support groups
Can stay for 60 days",True,,Social Security number,Adults with mental health issues,,,Julian Street Inn,37.3353436,-121.90303892339384
34,34,Shelter,LifeMoves,"2566 Leghorn Street, Mountain View, CA 94043",,8:30 am - 6 pm,https://www.lifemoves.org/homekey/,650 537 4728,City of Mountain View,100,124,False,Noncongregate,False,True,False,False,False,True,False,False,False,TRUE,"*Families, 
*couples, and 
*adults
Prioritizing seniors",FALSE,,,FALSE,"Intensive case management
Classes on financial literacy, employment, etc.",True,,,,,,LifeMoves Mountain View,37.41938838318693,-122.09996621177106
35,35,Shelter,LifeMoves,No Address,San Jose,"358 North Montgomery Street, San Jose, CA 95110
            ",,408-271-5160,City of San Jose,,90,False,congregate shelter for men; 20 beds dedicated to Veterans,True,False,False,True,False,False,False,False,False,FALSE,"*Men
*male veterans",FALSE,,"Identify as a man, male Vet",FALSE,"emergency and transitional housing with case management, Veteran's services, medical respite care, other ss.",False,,,,,,Montgomery Street Inn,,
36,36,Shelter,HomeFirst,No Address,,,,,Santa Clara County,,50,False,Cold weather shelter-congregate setting ,False,False,False,False,True,True,False,False,False,FALSE,"*Families and 
*single women ",FALSE,,"Literally homeless, live in North County, referred from North County provider",FALSE,"LifeMoves provides light case management, manages, basic needs services. CSA provides intensive case management . ",True,,,,,,Mountain View Winter Shelter,,
37,37,Shelter,Next Door Solutions to Domestic Violence,San Jose,,24/7,https://www.nextdoorsolutions.org/services/housing/,408 279 2962,,4,19,True,4 rooms plus a big room for congregate sleeping arrangement,False,False,False,False,True,False,False,False,False,"TRUE
up to 18",Women & children of up to 18,FALSE,No,Fleeing domestic violence victims,"FALSE
has a kitchen. don't provide meals",,False,Call: 408 279 2962,,"*Pets are allowed
*Men not allowed
*Next Door can provide transportation to the shelter
*Stay up to 30 days
*If the shelter is full, Next Door can provide a few days hotel voucher",,,Next Door Shelter,,
38,38,Shelter,LifeMoves,No Address,San Jose (confidential location),,https://www.lifemoves.org/directory/new-haven-inn/,,City of San Jose,,,False,,False,True,False,False,False,False,False,False,False,FALSE,"*LGBTQ
*adults",FALSE,,Identify as LGBTQ+,FALSE,population specific services ,False,Referral Only,,,,,New Haven Inn,,
39,39,Shelter,HomeFirst,"999 Hamlin Ct, Sunnyvale, CA 94089",,,,,Santa Clara County,,125,True,Congregate emergency shelter for adults,False,True,False,False,False,False,False,False,False,FALSE,Adults,FALSE,,Must be an adult in SCC; ,FALSE," case management, basic needs services provided by HomeFirst, medical care, clinical SW, workshops, bene enrollment provided by other providers. Shuttle services provided ",True,,,transitioning to family shelter; not taking referrals at this time,,,North County Shelter Program,37.4016723,-122.0298576
40,40,Shelter,,"884 Lafayette St Santa Clara, CA 95050",,,https://www.billwilsoncenter.org/services/all/quetzal.html,408 243 0222,,,40,False,,False,False,False,False,False,False,False,False,False,FALSE,Girls ages 13-17 who are in foster care,FALSE,,Girls ages 13-17 who are chronic runaways from the Santa Clara County Foster Care System,FALSE,,False,,,9/25: not in operation,,,Quetzal House,37.34892857481909,-121.94284948753509
41,41,Shelter,,No Address,,,www.razingthebar.org,669 295 2180,,,,False,,False,False,False,False,False,False,False,False,False,FALSE,,FALSE,,,FALSE,,False,,,,information@razingthebar.org,,Raising the Bar,,
42,42,Bridge Housing Unit,Salvation Army,"405 N 4th St, San Jose, CA 95112",,,,408 282-1175,,,60,True,dorm with bunker beds,False,False,False,True,False,False,False,False,False,FALSE,,FALSE,$480/month,"*Proof of income
*Government issued picture ID, not have to be CA ID","TRUE

Breakfast and dinner every day except Sunday",,False,"*Apply in person
*Call",,Shelter beds for men only. You may remain in the program for two years. Individuals receiving disability benefits or other fixed income pay a monthly fee of $480. ,,,Salvation Army Bridge Housing,37.3440692,-121.8927628
43,43,Shelter,Community Solutions,South County,,24/7,https://www.communitysolutions.org/,877 363 7238,,,,False,Location is confidential,False,False,False,False,True,False,False,False,False,FALSE,"*Adult women 18+
*Women with children up to 17",FALSE,No,"*Domestic violence victim; fleeing abuse
*Homelessness not required
*Also take adult male who live in South County (i.e. Gilroy and Morgan Hill)","FALSE
Basic food",,False,Call 877 363 7238,"*initial phone intake
*in person intake in South County","*Male domestic violence survivors living in Sounth County may get motel vouchers
*Can stay at the shelter or motel for up to 30 days",,"(1) Brandywine THU - 8
(2) El Inviemo TH Gilroy - 11
(3) FDO/Prop 47 -4
(4) FSP THU Gilroy - 5
(5) John Telfer THU - 5
(6) Maria Way - 6
(7) Walnut Lane Home TH - 4",STV (Solution to Violence),,
44,44,Emergency Interim Housing,HomeFirst,No Address,,,https://www.homefirstscc.org/interim-housing,,,89,,False,Motel,False,True,False,False,False,False,False,False,False,FALSE,,FALSE,,,TRUE,,False,HomeFirst outreach,,,,,The Arena EIH,,
45,45,Shelter,The Dream House Inc.,No Address,,,www.thedreamhouseinc.com,408 639 3090,,,,False,,False,False,False,False,True,False,False,False,False,FALSE,,FALSE,,,FALSE,,False,,,Independent living for women. Recovery transitional housing / Halfway house,,,The Dream House,,
46,46,Shelter,LifeMoves,No Address,,,,,City of San Jose,"15 family units (5 family units reserved for Veteran families)
18 single units",63,False,Noncongregate,True,False,False,False,True,True,False,False,False,FALSE,*Families and single adult women and *Veteran families ,FALSE,,,FALSE,,False,,,,,,Villa,,
47,47,Shelter,LifeMoves,No Address,San Jose,,,,City of San Jose,"15 family units 
18 single units",63,False,non congregate shelter for single women and families ,False,False,False,False,True,True,False,False,False,FALSE,"*Single women, *families",FALSE,,,FALSE,,False,,,,,,Villa ,,
48,48,Shelter,YWCA,Confidential location,,24/7,,800 572 2782,,,,False,,False,False,True,False,False,False,False,False,False,FALSE,"Adults 18+ of all gender.
Adults with children under 18",FALSE,0,"Fleeing domestic violence, sexual assault or human trafficking",Case by case,"Emergency assistance for battered individuals, domestic violence, sexual assault and human trafficking; shelter, counseling, advocacy ",False,Call the 800 #,,"Can stay for 2 nights
Transportation is possible
",Info@ywca-sv.org,,YWCA Emergency Housing,,
