,Category,Shelter Managed By,Address of Shelter Management Organization,Shelter Address,Site Description,Phone Operating Hours,Website,Phone #,Jurisdiction ,# of Units,# of Beds,Congregate?,Setting Type,Survivors of Domestic Violence & Human Trafficking,Veterans,Single Adult,Adult (18 - 24),Adult Men,Adult Women,Family ,Young Families (parents 18-24),Child(ren) (0 - 5),Child(ren) (12 - 17),Child(ren) (0 - 17),Populations Served,Sex Offender,Rent / Program Fee,Eligibility Criteria,Meals Offered,Pet,Services & Amenities,Here4You,How to Apply,Application Requirements,Shelter Name,Latitude,Longitude
33,Shelter,LifeMoves,,"January: Trinity Lutheran Church, 1295 Middlefield Road, Palo Alto
February: Wesley Methodist Church, 463 College Avenue, Palo
March: First Congregational Church, 1985 Louis Road, Palo Alto
April: The Highway Community, 3373 Middlefield Road, Palo Alto
May: Peninsula Bible Church, 3505 Middlefield Road, Palo Alto
June: First Methodist Church, 625 Hamilton Avenue, Palo Alto
July: First Presbyterian Church, 1140 Cowper Street, Palo Alto
August: St. Mark’s Episcopal, 600 Colorado Avenue, Palo Alto
September: Unitarian Church, 505 E. Charleston Road, Palo Alto
October: All Saints’ Episcopal Church, 555 Waverley Street, Palo Alto
November: Menlo Church, 950 Santa Cruz Avenue, Menlo Park
December: Friends Meeting, 957 Colorado Avenue, Palo Alto",Palo Alto,8am - 4pm,https://www.lifemoves.org/directory/opportunity-services-center/,650 656 9840,City of Palo Alto,,10,True,congregate shelter rotating at various churches,False,False,True,False,False,False,False,False,False,False,FALSE,Adults,"TRUE
case by case",0,,"TRUE
Hot meal dinner
Snacks for breakfast",,"emergency food, shelter, and case management services ",True,,,Hotel de Zink,,
34,Shelter,LifeMoves,,"546 West Julian Street, San Jose, CA 95110",,8:30 am - 6 pm,https://www.lifemoves.org/adult-services/?q=&in_cat=39,408 271 0820,City of San Jose,,85,True,congregate shelter setting,False,True,True,False,False,False,False,False,False,False,FALSE,"*Adults 
*Veterans
*Adults with mental illness",FALSE,,,FALSE,,"Case manegement with mental health case manager
One on one counseling and support groups
Can stay for 60 days",True,,Social Security number,Julian Street Inn,37.3353436,-121.90303892339385
35,Shelter,LifeMoves,,"2566 Leghorn Street, Mountain View, CA 94043",,8:30 am - 6 pm,https://www.lifemoves.org/homekey/,650 537 4728,City of Mountain View,100,124,False,Noncongregate,False,False,True,False,False,False,True,False,False,False,TRUE,"*Families, 
*couples, and 
*adults
Prioritizing seniors",FALSE,,,FALSE,,"Intensive case management
Classes on financial literacy, employment, etc.",True,,,LifeMoves Mountain View,37.419388383186934,-122.09996621177106
36,Shelter,LifeMoves,,No Address,San Jose,"358 North Montgomery Street, San Jose, CA 95110
            ",,408-271-5160,City of San Jose,,90,False,congregate shelter for men; 20 beds dedicated to Veterans,False,True,False,False,True,False,False,False,False,False,FALSE,"*Men
*male veterans",FALSE,,"Identify as a man, male Vet",FALSE,,"emergency and transitional housing with case management, Veteran's services, medical respite care, other ss.",False,,,Montgomery Street Inn,,
37,Shelter,HomeFirst,,No Address,,,,,Santa Clara County,,50,False,Cold weather shelter-congregate setting ,False,False,False,False,False,True,True,False,False,False,FALSE,"*Families and 
*single women ",FALSE,,"Literally homeless, live in North County, referred from North County provider",FALSE,,"LifeMoves provides light case management, manages, basic needs services. CSA provides intensive case management . ",True,,,Mountain View Winter Shelter,,
38,Shelter,Next Door Solutions to Domestic Violence,,San Jose,,24/7,https://www.nextdoorsolutions.org/services/housing/,408 279 2962,,4,19,True,4 rooms plus a big room for congregate sleeping arrangement,False,False,False,False,False,True,False,False,False,False,"TRUE
up to 18",Women & children of up to 18,FALSE,0,Fleeing domestic violence victims,"FALSE
has a kitchen. don't provide meals",,,False,Call: 408 279 2962,,Next Door Shelter,,
39,Shelter,LifeMoves,,No Address,San Jose (confidential location),,https://www.lifemoves.org/directory/new-haven-inn/,,City of San Jose,,,False,,False,False,True,False,False,False,False,False,False,False,FALSE,"*LGBTQ
*adults",FALSE,,Identify as LGBTQ+,FALSE,,population specific services ,False,Referral Only,,New Haven Inn,,
40,Shelter,HomeFirst,,"999 Hamlin Ct, Sunnyvale, CA 94089",,,,,Santa Clara County,,125,True,Congregate emergency shelter for adults,False,False,True,False,False,False,False,False,False,False,FALSE,Adults,FALSE,,Must be an adult in SCC; ,FALSE,," case management, basic needs services provided by HomeFirst, medical care, clinical SW, workshops, bene enrollment provided by other providers. Shuttle services provided ",True,,,North County Shelter Program,37.4016723,-122.0298576
41,Shelter,,,"884 Lafayette St Santa Clara, CA 95050",,,https://www.billwilsoncenter.org/services/all/quetzal.html,408 243 0222,,,40,False,,False,False,False,False,False,False,False,False,False,False,FALSE,Girls ages 13-17 who are in foster care,FALSE,,Girls ages 13-17 who are chronic runaways from the Santa Clara County Foster Care System,FALSE,,,False,,,Quetzal House,37.348928574819084,-121.94284948753509
42,Shelter,,,No Address,,,www.razingthebar.org,669 295 2180,,,,False,,False,False,False,False,False,False,False,False,False,False,FALSE,,FALSE,,,FALSE,,,False,,,Raising the Bar,,
43,Bridge Housing Unit,Salvation Army,,"405 N 4th St, San Jose, CA 95112",,,,408 282-1175,,,60,True,dorm with bunker beds,False,False,False,False,True,False,False,False,False,False,FALSE,,FALSE,480,"*Proof of income
*Government issued picture ID, not have to be CA ID","TRUE

Breakfast and dinner every day except Sunday",,,False,"*Apply in person
*Call",,Salvation Army Bridge Housing,37.3440692,-121.8927628
44,Shelter,Community Solutions,,South County,,24/7,https://www.communitysolutions.org/,877 363 7238,,,,False,Location is confidential,False,False,False,False,False,True,False,False,False,False,FALSE,"*Adult women 18+
*Women with children up to 17",FALSE,0,"*Domestic violence victim; fleeing abuse
*Homelessness not required
*Also take adult male who live in South County (i.e. Gilroy and Morgan Hill)","FALSE
Basic food",,,False,Call 877 363 7238,"*initial phone intake
*in person intake in South County",STV (Solution to Violence),,
45,Emergency Interim Housing,HomeFirst,,No Address,,,https://www.homefirstscc.org/interim-housing,,,89,,False,Motel,False,False,True,False,False,False,False,False,False,False,FALSE,,FALSE,,,TRUE,,,False,HomeFirst outreach,,The Arena EIH,,
46,Shelter,The Dream House Inc.,,No Address,,,www.thedreamhouseinc.com,408 639 3090,,,,False,,False,False,False,False,False,True,False,False,False,False,FALSE,,FALSE,,,FALSE,,,False,,,The Dream House,,
47,Shelter,LifeMoves,,No Address,,,,,City of San Jose,"15 family units (5 family units reserved for Veteran families)
18 single units",63,False,Noncongregate,False,True,False,False,False,True,True,False,False,False,FALSE,*Families and single adult women and *Veteran families ,FALSE,,,FALSE,,,False,,,Villa,,
48,Shelter,LifeMoves,,No Address,San Jose,,,,City of San Jose,"15 family units 
18 single units",63,False,non congregate shelter for single women and families ,False,False,False,False,False,True,True,False,False,False,FALSE,"*Single women, *families",FALSE,,,FALSE,,,False,,,Villa ,,
49,Shelter,YWCA,,Confidential location,,24/7,,800 572 2782,,,,False,,False,False,False,True,False,False,False,False,False,False,FALSE,"Adults 18+ of all gender.
Adults with children under 18",FALSE,0,"Fleeing domestic violence, sexual assault or human trafficking",Case by case,,"Emergency assistance for battered individuals, domestic violence, sexual assault and human trafficking; shelter, counseling, advocacy ",False,Call the 800 #,,YWCA Emergency Housing,,
